0x20," ",0,0,0,0,0,
0x21,"!",0.054525,0.068425,0.0118,0.029925,0.10795,
0x22,"",0.0402625,0,0,0.0804,0.08065,
0x23,"#",0.13626875,0.1132,0.152475,0.121075,0.158325,
0x24,"$",0.168375,0.19735,0.146725,0.2017,0.127725,
0x25,"%",0.14938125,0.228925,0.072175,0.22775,0.068675,
0x26,"&",0.173125,0.22275,0.193675,0.17615,0.099925,
0x27,"'",0.01983125,0,0,0.01125,0.068075,
0x28,"(",0.07001875,0.04475,0.118675,0.060975,0.055675,
0x29,")",0.069825,0.1175,0.04665,0.057875,0.057275,
0x2A,"*",0.0353125,0,0,0.0726,0.06865,
0x2B,"+",0.0748,0.13355,0.11285,0.02145,0.03135,
0x2C,",",0.0178625,0.03625,0.0352,0,0,
0x2D,"-",0.0214375,0.042,0.04375,0,0,
0x2E,".",0.0105,0.01995,0.02205,0,0,
0x2F,"/",0.0508625,0.011775,0.086425,0.0049,0.10035,
0x30,"0",0.14391875,0.141375,0.14865,0.144425,0.141225,
0x31,"1",0.0765375,0.1035,0.02415,0.07395,0.10455,
0x32,"2",0.13863125,0.1157,0.16985,0.106425,0.16255,
0x33,"3",0.138875,0.16625,0.1146,0.115825,0.158825,
0x34,"4",0.12163125,0.165525,0.1081,0.0661,0.1468,
0x35,"5",0.1375,0.151,0.105125,0.173725,0.12015,
0x36,"6",0.1559875,0.1503,0.157175,0.1739,0.142575,
0x37,"7",0.0957375,0.0195,0.107925,0.085925,0.1696,
0x38,"8",0.1650375,0.162425,0.169475,0.1654,0.16285,
0x39,"9",0.15318125,0.1687,0.146475,0.148675,0.148875,
0x3A,":",0.021,0.03045,0.01155,0.01155,0.03045,
0x3B,";",0.0286,0.054875,0.016475,0.01155,0.0315,
0x3C,"<",0.08780625,0.098425,0.1423,0.01735,0.09315,
0x3D,"=",0.0808,0.1092,0.1029,0.0539,0.0572,
0x3E,">",0.0883125,0.148475,0.09365,0.0903,0.020825,
0x3F,"?",0.08658125,0.06625,0.02795,0.087475,0.16465,
0x40,"@",0.20610625,0.19225,0.201375,0.20665,0.22415,
0x41,"A",0.151675,0.1782,0.169375,0.122925,0.1362,
0x42,"B",0.200775,0.179725,0.18705,0.2326,0.203725,
0x43,"C",0.1530875,0.138225,0.17015,0.1789,0.125075,
0x44,"D",0.18213125,0.1611,0.19215,0.1998,0.175475,
0x45,"E",0.17125,0.10975,0.18965,0.2299,0.1557,
0x46,"F",0.12943125,0.015925,0.1364,0.2119,0.1535,
0x47,"G",0.191075,0.231425,0.1793,0.18345,0.170125,
0x48,"H",0.1667875,0.1368,0.13665,0.1961,0.1976,
0x49,"I",0.067925,0.0759,0.0552,0.0592,0.0814,
0x4A,"J",0.0994,0.14155,0.11545,0,0.1406,
0x4B,"K",0.161925,0.160975,0.146725,0.198975,0.141025,
0x4C,"L",0.0987375,0.08755,0.1668,0.1406,0,
0x4D,"M",0.239925,0.2305,0.234125,0.250425,0.24465,
0x4E,"N",0.19020625,0.2342,0.129525,0.252325,0.144775,
0x4F,"O",0.18665625,0.176025,0.183075,0.1921,0.195425,
0x50,"P",0.15178125,0.027725,0.1555,0.2138,0.2101,
0x51,"Q",0.20400625,0.247125,0.1841,0.189375,0.195425,
0x52,"R",0.18830625,0.1599,0.15595,0.227575,0.2098,
0x53,"S",0.17099375,0.1984,0.12845,0.2075,0.149625,
0x54,"T",0.10951875,0.069,0.06555,0.1495,0.154025,
